,Temperature,Frequency
0,25.0,2016-08-23
1,25.0,2016-08-24
2,26.7,2016-08-25
3,26.7,2016-08-26
4,23.9,2016-08-27
5,22.8,2016-08-28
6,25.6,2016-08-29
7,25.0,2016-08-30
8,25.6,2016-08-31
9,26.7,2016-09-01
10,26.7,2016-09-02
11,25.6,2016-09-03
12,25.6,2016-09-04
13,25.6,2016-09-05
14,22.8,2016-09-06
15,23.3,2016-09-07
16,26.7,2016-09-08
17,26.1,2016-09-09
18,25.0,2016-09-10
19,26.7,2016-09-11
20,24.4,2016-09-12
21,26.1,2016-09-13
22,23.9,2016-09-14
23,26.1,2016-09-15
24,25.6,2016-09-16
25,26.1,2016-09-17
26,25.6,2016-09-18
27,25.6,2016-09-19
28,24.4,2016-09-20
29,23.3,2016-09-21
30,25.0,2016-09-22
31,25.6,2016-09-23
32,26.1,2016-09-24
33,26.1,2016-09-25
34,25.0,2016-09-26
35,26.7,2016-09-27
36,25.6,2016-09-28
37,25.6,2016-09-29
38,25.6,2016-09-30
39,25.0,2016-10-01
40,26.1,2016-10-02
41,26.1,2016-10-03
42,26.1,2016-10-04
43,26.1,2016-10-05
44,23.9,2016-10-06
45,24.4,2016-10-07
46,22.8,2016-10-08
47,22.2,2016-10-09
48,21.7,2016-10-10
49,25.0,2016-10-11
50,26.1,2016-10-12
51,25.6,2016-10-13
52,26.1,2016-10-14
53,25.0,2016-10-15
54,26.1,2016-10-16
55,25.0,2016-10-17
56,25.6,2016-10-18
57,25.6,2016-10-19
58,25.6,2016-10-20
59,25.6,2016-10-21
60,25.0,2016-10-22
61,23.3,2016-10-23
62,23.9,2016-10-24
63,24.4,2016-10-25
64,22.8,2016-10-26
65,24.4,2016-10-27
66,23.3,2016-10-28
67,25.0,2016-10-29
68,24.4,2016-10-30
69,24.4,2016-10-31
70,23.3,2016-11-01
71,23.9,2016-11-02
72,23.9,2016-11-03
73,23.9,2016-11-04
74,23.9,2016-11-05
75,21.7,2016-11-06
76,17.2,2016-11-07
77,21.1,2016-11-08
78,20.0,2016-11-09
79,19.4,2016-11-10
80,25.0,2016-11-11
81,23.3,2016-11-12
82,25.0,2016-11-13
83,24.4,2016-11-14
84,24.4,2016-11-15
85,23.9,2016-11-16
86,24.4,2016-11-17
87,23.9,2016-11-18
88,22.8,2016-11-19
89,23.9,2016-11-20
90,22.8,2016-11-21
91,23.9,2016-11-22
92,23.3,2016-11-23
93,23.9,2016-11-24
94,23.3,2016-11-25
95,23.9,2016-11-26
