,Temperature,Date,binned_temperature
0,25.0,2016-08-23,24.6
1,25.0,2016-08-24,24.6
2,26.7,2016-08-25,25.8
3,26.7,2016-08-26,25.8
4,23.9,2016-08-27,23.4
5,22.8,2016-08-28,22.2
6,25.6,2016-08-29,24.6
7,25.0,2016-08-30,24.6
8,25.6,2016-08-31,24.6
9,26.7,2016-09-01,25.8
10,26.7,2016-09-02,25.8
11,25.6,2016-09-03,24.6
12,25.6,2016-09-04,24.6
13,25.6,2016-09-05,24.6
14,22.8,2016-09-06,22.2
15,23.3,2016-09-07,22.2
16,26.7,2016-09-08,25.8
17,26.1,2016-09-09,25.8
18,25.0,2016-09-10,24.6
19,26.7,2016-09-11,25.8
20,24.4,2016-09-12,23.4
21,26.1,2016-09-13,25.8
22,23.9,2016-09-14,23.4
23,26.1,2016-09-15,25.8
24,25.6,2016-09-16,24.6
25,26.1,2016-09-17,25.8
26,25.6,2016-09-18,24.6
27,25.6,2016-09-19,24.6
28,24.4,2016-09-20,23.4
29,23.3,2016-09-21,22.2
30,25.0,2016-09-22,24.6
31,25.6,2016-09-23,24.6
32,26.1,2016-09-24,25.8
33,26.1,2016-09-25,25.8
34,25.0,2016-09-26,24.6
35,26.7,2016-09-27,25.8
36,25.6,2016-09-28,24.6
37,25.6,2016-09-29,24.6
38,25.6,2016-09-30,24.6
39,25.0,2016-10-01,24.6
40,26.1,2016-10-02,25.8
41,26.1,2016-10-03,25.8
42,26.1,2016-10-04,25.8
43,26.1,2016-10-05,25.8
44,23.9,2016-10-06,23.4
45,24.4,2016-10-07,23.4
46,22.8,2016-10-08,22.2
47,22.2,2016-10-09,21.0
48,21.7,2016-10-10,21.0
49,25.0,2016-10-11,24.6
50,26.1,2016-10-12,25.8
51,25.6,2016-10-13,24.6
52,26.1,2016-10-14,25.8
53,25.0,2016-10-15,24.6
54,26.1,2016-10-16,25.8
55,25.0,2016-10-17,24.6
56,25.6,2016-10-18,24.6
57,25.6,2016-10-19,24.6
58,25.6,2016-10-20,24.6
59,25.6,2016-10-21,24.6
60,25.0,2016-10-22,24.6
61,23.3,2016-10-23,22.2
62,23.9,2016-10-24,23.4
63,24.4,2016-10-25,23.4
64,22.8,2016-10-26,22.2
65,24.4,2016-10-27,23.4
66,23.3,2016-10-28,22.2
67,25.0,2016-10-29,24.6
68,24.4,2016-10-30,23.4
69,24.4,2016-10-31,23.4
70,23.3,2016-11-01,22.2
71,23.9,2016-11-02,23.4
72,23.9,2016-11-03,23.4
73,23.9,2016-11-04,23.4
74,23.9,2016-11-05,23.4
75,21.7,2016-11-06,21.0
76,17.2,2016-11-07,16.2
77,21.1,2016-11-08,21.0
78,20.0,2016-11-09,19.8
79,19.4,2016-11-10,18.6
80,25.0,2016-11-11,24.6
81,23.3,2016-11-12,22.2
82,25.0,2016-11-13,24.6
83,24.4,2016-11-14,23.4
84,24.4,2016-11-15,23.4
85,23.9,2016-11-16,23.4
86,24.4,2016-11-17,23.4
87,23.9,2016-11-18,23.4
88,22.8,2016-11-19,22.2
89,23.9,2016-11-20,23.4
90,22.8,2016-11-21,22.2
91,23.9,2016-11-22,23.4
92,23.3,2016-11-23,22.2
93,23.9,2016-11-24,23.4
94,23.3,2016-11-25,22.2
95,23.9,2016-11-26,23.4
96,22.8,2016-11-27,22.2
97,23.9,2016-11-28,23.4
98,22.8,2016-11-29,22.2
99,22.8,2016-11-30,22.2
100,23.3,2016-12-01,22.2
101,21.1,2016-12-02,21.0
102,22.2,2016-12-03,21.0
103,21.1,2016-12-04,21.0
104,19.4,2016-12-05,18.6
105,19.4,2016-12-06,18.6
106,20.6,2016-12-07,19.8
107,21.1,2016-12-08,21.0
108,20.0,2016-12-09,19.8
109,20.6,2016-12-10,19.8
110,20.6,2016-12-11,19.8
111,18.9,2016-12-12,18.6
112,18.3,2016-12-13,17.4
113,20.0,2016-12-14,19.8
114,16.7,2016-12-15,16.2
115,23.9,2016-12-16,23.4
116,21.1,2016-12-17,21.0
117,20.6,2016-12-18,19.8
118,24.4,2016-12-19,23.4
119,24.4,2016-12-20,23.4
120,23.3,2016-12-21,22.2
121,22.8,2016-12-22,22.2
122,21.7,2016-12-23,21.0
123,23.3,2016-12-24,22.2
124,23.3,2016-12-25,22.2
125,22.2,2016-12-26,21.0
126,21.7,2016-12-27,21.0
127,22.2,2016-12-28,21.0
128,23.3,2016-12-29,22.2
129,20.6,2016-12-30,19.8
130,19.4,2016-12-31,18.6
131,22.2,2017-01-01,21.0
132,21.1,2017-01-02,21.0
133,17.8,2017-01-03,17.4
134,17.2,2017-01-04,16.2
135,17.2,2017-01-05,16.2
136,16.7,2017-01-06,16.2
137,21.1,2017-01-07,21.0
138,21.1,2017-01-08,21.0
139,16.7,2017-01-09,16.2
140,16.7,2017-01-10,16.2
141,17.2,2017-01-11,16.2
142,18.3,2017-01-12,17.4
143,20.6,2017-01-13,19.8
144,25.0,2017-01-14,24.6
145,21.1,2017-01-15,21.0
146,23.3,2017-01-16,22.2
147,20.6,2017-01-17,19.8
148,22.2,2017-01-18,21.0
149,21.7,2017-01-19,21.0
150,20.6,2017-01-20,19.8
151,21.7,2017-01-21,21.0
152,21.7,2017-01-22,21.0
153,22.2,2017-01-23,21.0
154,22.2,2017-01-24,21.0
155,20.6,2017-01-25,19.8
156,21.1,2017-01-26,21.0
157,18.9,2017-01-27,18.6
158,18.3,2017-01-28,17.4
159,20.6,2017-01-29,19.8
160,20.0,2017-01-30,19.8
161,20.0,2017-01-31,19.8
162,20.0,2017-02-01,19.8
163,15.0,2017-02-02,
164,15.6,2017-02-03,15.0
165,21.1,2017-02-04,21.0
166,22.8,2017-02-05,22.2
167,23.9,2017-02-06,23.4
168,17.8,2017-02-07,17.4
169,15.0,2017-02-08,
170,15.0,2017-02-09,
171,16.7,2017-02-10,16.2
172,20.0,2017-02-11,19.8
173,21.1,2017-02-12,21.0
174,22.8,2017-02-13,22.2
175,26.1,2017-02-14,25.8
176,23.9,2017-02-15,23.4
177,18.3,2017-02-16,17.4
178,21.1,2017-02-17,21.0
179,23.3,2017-02-18,22.2
180,21.1,2017-02-19,21.0
181,21.1,2017-02-20,21.0
182,21.7,2017-02-21,21.0
183,21.7,2017-02-22,21.0
